Nombre,ID Diputado,Partido,Distrito,Correo,Twitter,Instagram,Facebook,TikTok,YouTube,Enfoque Digital,Palabra Clave
Karol Cariola Oliva,1148,PC,8,karol.cariola@congreso.cl,@kaaboriga,karolcariola,,,,Instagram/Twitter,vocería masivo
Boris Barrera Moreno,1149,PC,9,boris.barrera@congreso.cl,@borisbarreram,borisbarreramoreno,,,,Facebook/Twitter,vivienda
Maite Orsini Pascal,1150,FA,9,maite.orsini@congreso.cl,@maaboripe,mairsini,,,,Instagram/Twitter,género animalista influencer
Andrés Giordano Salazar,1151,FA,9,andres.giordano@congreso.cl,@andresgiordanos,andresgiordano.s,,TikTok,,Twitter/TikTok,sindicatos laboral
Jorge Durán Espinoza,1152,RN,9,jorge.duran@congreso.cl,,,jorgeduran.d,,,Facebook,retiros AFP
Érika Olivera,1153,Dem,9,erika.olivera@congreso.cl,,erikaoliverad,,,,Instagram/Twitter,deporte familia
José Carlos Meza,1154,Rep,9,jose.meza@congreso.cl,@josemezar,,,YouTube,,YouTube/Twitter,ideología debates
Gonzalo Winter,1155,FA,10,gonzalo.winter@congreso.cl,@gonzalo_winter,gonzalowinter,,,TikTok,Twitter/Instagram,viral análisis
Lorena Fries Monleón,1156,FA,10,lorena.fries@congreso.cl,@lorenafries,,,,,Twitter,DDHH derecho
Emilia Schneider,1157,FA,10,emilia.schneider@congreso.cl,@emikiander,emiliaschneider,,,,Twitter/Instagram,LGTBIQ+ trans
Alejandra Placencia,1158,PC,10,alejandra.placencia@congreso.cl,@aleplacenciac,,,,,Facebook/Twitter,docentes educación
Jorge Alessandri,1009,UDI,10,jorge.alessandri@congreso.cl,,jorgealessandrid,,,,Instagram/TV,seguridad sentido común
María Luisa Cordero,1160,Ind-RN,10,marialuisa.cordero@congreso.cl,@marialuisacordero,,,,,Radio/TV/Twitter,opinión polémica
Johannes Kaiser,1161,Ind-PSC,10,johannes.kaiser@congreso.cl,@johanneskaiserb,,,YouTube,,YouTube/Twitter,libertario antiglobalismo
Helia Molina Milman,1162,PPD,10,helia.molina@congreso.cl,@heliamolina,,,,,Twitter/TV,salud pública
Gonzalo de la Carrera,1163,Ind-PSC,11,gonzalo.delacarrera@congreso.cl,@gonzalodelacarrera,,,,,Twitter/Radio,polémica ataque
Cristián Araya Lerdo,1164,Rep,11,cristian.araya@congreso.cl,,cristianarayald,,,,Instagram/Twitter,Carabineros policía
Francisco Undurraga,1165,Evó,11,francisco.undurraga@congreso.cl,@paborago,franciscoundurraga,,,,Twitter/Instagram,derecha liberal
Guillermo Ramírez Diez,1166,UDI,11,guillermo.ramirez@congreso.cl,@guilleramirez,,,,,Twitter/Prensa,Presidente UDI economía
Catalina del Real,1167,Rep,11,catalina.delreal@congreso.cl,@catadelreal,catalinadelreal,,,,Instagram/Twitter,internacional mujeres
Tomás Hirsch,1168,AH,11,tomas.hirsch@congreso.cl,@tomashirsch,tomashirsch,,,,Twitter/Facebook,DDHH humanista
Pamela Jiles Moreno,1169,Ind-PDG,12,pamela.jiles@congreso.cl,@pamjiles,pamelajilestv,,,,Twitter/TV,trending nietitos
Mónica Arce Castro,1170,Ind-PDC,12,monica.arce@congreso.cl,,monicaarcecastro,,,,Instagram/Facebook,autismo salud
Hernán Palma Pérez,1171,Ind-FA,12,hernan.palma@congreso.cl,,,hernanpalma.d,,,Facebook,medicina social
Ximena Ossandón,1172,RN,12,ximena.ossandon@congreso.cl,,ximenaossandon,,,,Instagram/Twitter,conservadurismo
Álvaro Carter Fernández,1173,UDI,12,alvaro.carter@congreso.cl,,alvarocarterfernandez,,,,Instagram/Twitter,fiscalización
Ana María Gazmuri,1174,AH,12,anamaria.gazmuri@congreso.cl,@angazdaya,anamariagazdaya,,,,Twitter/Instagram,cannabis Daya
Daniela Serrano,1175,PC,12,daniela.serrano@congreso.cl,,daniela.serrano.pc,,,TikTok,Instagram/TikTok,JJCC juventud deuda
Gael Yeomans Araya,1176,FA,13,gael.yeomans@congreso.cl,,gaelyeomans,,,,Instagram/Twitter,laboral 40 horas
Lorena Pizarro Sierra,1177,PC,13,lorena.pizarro@congreso.cl,@lorepizarro,,,,,Twitter/Facebook,memoria AFDD
Eduardo Durán Salinas,1178,RN,13,eduardo.duran@congreso.cl,,,eduardodurán.d,,,Facebook/Radio,evangélico iglesia
Cristhian Moreira,1179,UDI,13,cristhian.moreira@congreso.cl,,,cristianmoreira.d,,,Facebook,barrio social
Daniel Melo Contreras,1180,PS,13,daniel.melo@congreso.cl,,danielmelocontreras,,,,Instagram/Twitter,medioambiente
Marisela Santibáñez,1181,Ind-PC,14,marisela.santibanez@congreso.cl,,mariselasantibanez,,,,Instagram/Twitter,Colo-Colo fútbol
Camila Musante Müller,1182,Ind-PPD,14,camila.musante@congreso.cl,,camilamusante,,,,Instagram/Twitter,constitución ambiente
Raúl Leiva Carvajal,1183,PS,14,raul.leiva@congreso.cl,@raulleivacar,raulleivacarvajal,,,,Twitter/Facebook,constitución seguridad
Leonardo Soto Ferrada,1184,PS,14,leonardo.soto@congreso.cl,@leonardosotof,,,,,Twitter/Facebook,corrupción Hermosilla
Juan Antonio Coloma,1186,UDI,14,juan.coloma@congreso.cl,@juancoloma,juancoloma.d,,,,Twitter/Instagram,seguridad UDI
Juan Irarrázaval,1187,Rep,14,juan.irarrazaval@congreso.cl,@juanirarrazaval,,,YouTube,,Twitter/YouTube,Estado pequeño
Diego Schalper,1188,RN,15,diego.schalper@congreso.cl,@diegoschalper,diegoschalper,,,,Twitter,fiscalización oposición
Raúl Soto,1189,PPD,15,raul.soto@congreso.cl,@raulsoto,raulsotodiputado,,,,Twitter,Ex-Pdte Cámara acuerdos
Marta González,1190,Ind-PPD,15,marta.gonzalez@congreso.cl,,martagonsalez.d,,,,Instagram,género regional
Natalia Romero,1191,Ind-UDI,15,natalia.romero@congreso.cl,,nataliaromerod,,,,Instagram,familia mujer
Marcela Riquelme,1192,Ind-FA,15,marcela.riquelme@congreso.cl,,marcelariquelmed,,,,Instagram,LGTBIQ+ laboral
Carla Morales,1193,RN,16,carla.morales@congreso.cl,,carlamoralesh,,,,Instagram,vivienda social
Eduardo Cornejo,1194,UDI,16,eduardo.cornejo@congreso.cl,,,eduardocornejod,,,Facebook,gestión regional
Cosme Mellado,1195,PR,16,cosme.mellado@congreso.cl,,,cosmemellado.d,,,Facebook,rural radical
Félix Bugueño,1196,FA,16,felix.bugueno@congreso.cl,,felixbugueno,,,,Instagram,periodismo local
Hugo Rey,1197,RN,17,hugo.rey@congreso.cl,,hugoreydiputado,,,,Instagram,educación
Jorge Guzmán,1198,Evó,17,jorge.guzman@congreso.cl,@jorgeguzmanzo,jorgeguzman.d,,,,Twitter,fiscalización Jefe Bancada
Felipe Donoso,1199,UDI,17,felipe.donoso@congreso.cl,,felipedonoso.d,,,,Instagram,huaso tradiciones
Alexis Sepúlveda,1200,PR,17,alexis.sepulveda@congreso.cl,,,alexissepúlveda.d,,,Facebook,presupuesto regional
Benjamín Moreno,1201,Rep,17,benjamin.moreno@congreso.cl,,benjaminmoreno.d,,,,Instagram,rodeo tradiciones
Roberto Celedón,1202,Ind-FA,17,roberto.celedon@congreso.cl,,robertoceledor,,,,Instagram,DDHH memoria
Francisco Pulgar,1203,Ind-PDC,17,francisco.pulgar@congreso.cl,,franciscopulgar.perito,,,,Instagram,crónica roja forense
Paula Labra,1204,Ind-RN,18,paula.labra@congreso.cl,,paulalabrad,,,,Instagram,salud pública
Gustavo Benavente,1205,UDI,18,gustavo.benavente@congreso.cl,@gustavbenavente,,,,,Twitter,constitucionalista
Jaime Naranjo,1206,Ind-PDC,18,jaime.naranjo@congreso.cl,@jaimenaranjo,jaimenaranjo.d,,,,Twitter,viral 15 horas irónico
Consuelo Veloso,1207,FA,18,consuelo.veloso@congreso.cl,,consueloveloso,,,,Instagram,feminismo rural incorruptible
Frank Sauerbaum,1208,RN,19,frank.sauerbaum@congreso.cl,@franksauerbaum,franksauerbaum,,,,Twitter,economía pensiones
Sara Concha,1209,PSC,19,sara.concha@congreso.cl,,saraconchadiputada,,,,Instagram,valores cristianos
Sergio Bobadilla,1210,UDI,20,sergio.bobadilla@congreso.cl,@sergiobada,,,,,Twitter,oposición dura
Eric Aedo,1097,PDC,20,eric.aedo@congreso.cl,@ericaedoj,ericaedo.d,,,,Twitter,seguridad Biobío
Félix González,1212,PEV,20,felix.gonzalez@congreso.cl,,felixgonzalez.pev,,,,Instagram,ciclismo ecología
Cristóbal Urruticoechea,1213,Rep,21,cristobal.urruticoechea@congreso.cl,@curruticoechea,,,,,Twitter,anticomunismo armas
Joanna Pérez,1214,Dem,21,joanna.perez@congreso.cl,,joanaperezd,,,,Instagram,descentralización
Jorge Rathgeb,1215,RN,22,jorge.rathgeb@congreso.cl,@jorgerathgeb,jorgerathgeb,,,,Twitter,Presidente regional RN
Juan Carlos Beltrán,1216,RN,22,juancarlos.beltran@congreso.cl,,juancarlosbeltránd,,,,Instagram,conectividad rural
Gloria Naveillan,1217,Ind-PSC,22,gloria.naveillan@congreso.cl,,glorianaveillan,,,,Instagram,agricultores víctimas
Jorge Saffirio,1218,Dem,22,jorge.saffirio@congreso.cl,,jorgesaffiodiputado,,,,Instagram,vivienda social
Henry Leal,1219,UDI,23,henry.leal@congreso.cl,@henrylealp,henrylealdiputado,,,,Twitter,seguridad interior
Miguel Becker,1220,RN,23,miguel.becker@congreso.cl,,miguelbecker.d,,,,Instagram,Ex-Alcalde Temuco
Miguel Mellado,1221,RN,23,miguel.mellado@congreso.cl,@miguelmellado,miguelmellado.d,,,,Twitter,víctima violencia duro
Mauricio Ojeda,1222,Ind-Rep,23,mauricio.ojeda@congreso.cl,,mauricioojedadiputado,,,,Instagram,comunicador convenios
Stephan Schubert,1223,Ind-Rep,23,stephan.schubert@congreso.cl,,stephanabert,,,,Instagram,libertad religiosa
Andrés Jouannet,1224,Ama,23,andres.jouannet@congreso.cl,,andresjouannet,,,,Instagram,Amarillos seguridad
Ericka Ñanco,1225,FA,23,ericka.nanco@congreso.cl,,erickañanco,,,,Instagram,mapuche mujer
Bernardo Berger,1226,Ind-RN,24,bernardo.berger@congreso.cl,,bernardobergerd,,,,Instagram,municipalista
Marcos Ilabaca,1227,PS,24,marcos.ilabaca@congreso.cl,@marcosilabaca,marcosilabaca,,,,Twitter,constitución justicia
Emilia Nuyado,1228,PS,25,emilia.nuyado@congreso.cl,,emilianuyado,,,,Instagram,tierras Huilliche
Harry Jürgensen,1229,Ind-Rep,25,harry.jurgensen@congreso.cl,,harryjurgensen,,,,Instagram,agro libertad
Héctor Barría,1230,PDC,25,hector.barria@congreso.cl,,,hectorbarriad,,,Facebook,regionalismo DC
Mauro González,1231,RN,26,mauro.gonzalez@congreso.cl,,maurogonzalezd,,,,Instagram,pesca abogado
Alejandro Bernales,1232,PL,26,alejandro.bernales@congreso.cl,,alejandobernales,,,,Instagram,cultura turismo
Jaime Sáez,1233,FA,26,jaime.saez@congreso.cl,@jaimesaezq,jaimesaez.d,,,,Twitter,fiscalización ambiental
Miguel Ángel Calisto,1234,Dem,27,miguel.calisto@congreso.cl,,miguelangelcalisto,,,,Instagram,zonas extremas leña
René Alinco,803,Ind-PPD,27,rene.alinco@congreso.cl,@renealinco,renealinco,,,,Twitter,obrero disruptivo
Marcia Raphael,1236,RN,27,marcia.raphael@congreso.cl,,marciaraphaeld,,,,Instagram,gobierno regional
Carlos Bianchi,1237,Ind-PPD,28,carlos.bianchi@congreso.cl,@carlosbianchi,carlosbianchi.d,,,,Twitter/Radio,caudillo regional
Christian Matheson,1238,Ind-Evó,28,christian.matheson@congreso.cl,,christianmathesondiputado,,,,Instagram,vivienda urbanismo
Javiera Morales,1239,FA,28,javiera.morales@congreso.cl,,javieramoralesd,,,,Instagram,descentralización fiscal
Cristián Araya,1100,Ind-Rep,10,cristian.araya@congreso.cl,,cristianaraya.d,,,,Instagram,Carabineros
Roberto Arce,1101,PS,1,roberto.arce@congreso.cl,,robertoarced,,,,Instagram,territorio
